               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
169,0.014681,0.0092148,0,0.0826198,0.92801,0.97706,0.98197,0.79351,0.01682,0.0081542,0,0.001684,0.001684,0.001684
170,0.014421,0.0093049,0,0.0814099,0.93561,0.97555,0.98398,0.79706,0.016666,0.0079234,0,0.0016345,0.0016345,0.0016345
171,0.014421,0.0093274,0,0.0814324,0.94267,0.96485,0.98398,0.8025,0.016635,0.0079101,0,0.001585,0.001585,0.001585
172,0.014272,0.0091646,0,0.0805246,0.92452,0.978,0.98215,0.80071,0.016508,0.0078948,0,0.0015355,0.0015355,0.0015355
173,0.014383,0.0093622,0,0.0812772,0.92825,0.98053,0.98242,0.80087,0.016557,0.0078752,0,0.001486,0.001486,0.001486
174,0.014266,0.009234,0,0.080564,0.93417,0.98044,0.98185,0.80269,0.01644,0.0078471,0,0.0014365,0.0014365,0.0014365
175,0.014228,0.0091471,0,0.0802871,0.92372,0.98533,0.98357,0.80116,0.016476,0.0078771,0,0.001387,0.001387,0.001387
176,0.014275,0.009151,0,0.080526,0.94855,0.96088,0.98434,0.80233,0.016267,0.0078671,0,0.0013375,0.0013375,0.0013375
177,0.014095,0.0090622,0,0.0795372,0.93004,0.978,0.98407,0.8016,0.016333,0.008041,0,0.001288,0.001288,0.001288
178,0.014258,0.0093059,0,0.0805959,0.94942,0.96088,0.98278,0.79646,0.016387,0.0079748,0,0.0012385,0.0012385,0.0012385
179,0.014104,0.0092944,0,0.0798144,0.9467,0.96088,0.98204,0.7974,0.016442,0.0080527,0,0.001189,0.001189,0.001189
180,0.0139,0.0091378,0,0.0786378,0.9402,0.97066,0.98272,0.799,0.016399,0.0080194,0,0.0011395,0.0011395,0.0011395
181,0.014013,0.0092549,0,0.0793199,0.94566,0.97066,0.98406,0.79988,0.016508,0.0079852,0,0.00109,0.00109,0.00109
182,0.013985,0.0090431,0,0.0789681,0.94696,0.96577,0.9842,0.80008,0.016525,0.0079723,0,0.0010405,0.0010405,0.0010405
183,0.013858,0.0089252,0,0.0782152,0.9472,0.96489,0.98352,0.80143,0.016448,0.0079782,0,0.000991,0.000991,0.000991
184,0.01368,0.0090135,0,0.0774135,0.94496,0.9654,0.98255,0.80009,0.016402,0.0079628,0,0.0009415,0.0009415,0.0009415
185,0.013788,0.0090097,0,0.0779497,0.93863,0.97234,0.98266,0.80169,0.016499,0.0079844,0,0.000892,0.000892,0.000892
186,0.01404,0.0088947,0,0.0790947,0.93833,0.97555,0.98316,0.79869,0.016451,0.0079632,0,0.0008425,0.0008425,0.0008425
187,0.013644,0.0089883,0,0.0772083,0.93264,0.98176,0.98251,0.80138,0.016511,0.0079977,0,0.000793,0.000793,0.000793
188,0.013597,0.0088855,0,0.0768705,0.93481,0.98174,0.98267,0.80015,0.016412,0.0079682,0,0.0007435,0.0007435,0.0007435
189,0.013541,0.0089841,0,0.0766891,0.93266,0.98196,0.98257,0.79823,0.016438,0.0080224,0,0.000694,0.000694,0.000694
190,0.013652,0.0087482,0,0.0770082,0.93384,0.97311,0.98341,0.79935,0.01642,0.0080037,0,0.0006445,0.0006445,0.0006445
191,0.013524,0.0085872,0,0.0762072,0.93856,0.97117,0.98296,0.80193,0.016387,0.0079832,0,0.000595,0.000595,0.000595
192,0.013368,0.0088737,0,0.0757137,0.93257,0.98059,0.9828,0.80065,0.016376,0.0080191,0,0.0005455,0.0005455,0.0005455
193,0.013577,0.0089326,0,0.0768176,0.95571,0.95844,0.98307,0.79915,0.016397,0.0080606,0,0.000496,0.000496,0.000496
