epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,3749.58,0.56173,0.34707,1.05406,0.93772,0.94621,0.97727,0.80251,0.76853,0.41868,1.31101,0.0030205,0.0030205,0.0030205
143,3775.73,0.56208,0.3517,1.05689,0.93951,0.94942,0.97975,0.80611,0.76392,0.42265,1.30504,0.002971,0.002971,0.002971
144,3801.75,0.55447,0.34692,1.04256,0.93265,0.96333,0.98239,0.80495,0.76042,0.41563,1.29318,0.0029215,0.0029215,0.0029215
145,3827.87,0.55589,0.34175,1.04765,0.94595,0.94134,0.98167,0.80145,0.76722,0.41114,1.29428,0.002872,0.002872,0.002872
146,3853.81,0.5457,0.33604,1.04309,0.96229,0.93579,0.98203,0.80417,0.7877,0.42144,1.32659,0.0028225,0.0028225,0.0028225
147,3879.87,0.54623,0.34119,1.04097,0.95754,0.93738,0.98153,0.79655,0.78688,0.42162,1.32991,0.002773,0.002773,0.002773
148,3905.9,0.54267,0.34275,1.04097,0.95025,0.94377,0.98082,0.79781,0.79184,0.41105,1.33908,0.0027235,0.0027235,0.0027235
149,3931.87,0.54263,0.34509,1.0391,0.92718,0.96501,0.97803,0.79772,0.78346,0.41275,1.32175,0.002674,0.002674,0.002674
150,3957.83,0.53451,0.33298,1.0332,0.93738,0.96333,0.9821,0.80492,0.77114,0.41761,1.30754,0.0026245,0.0026245,0.0026245
151,3983.85,0.53662,0.33516,1.0351,0.9336,0.96252,0.9765,0.7972,0.78035,0.42075,1.30006,0.002575,0.002575,0.002575
152,4009.82,0.5381,0.33353,1.03396,0.9458,0.93871,0.97558,0.80408,0.77069,0.42986,1.2962,0.0025255,0.0025255,0.0025255
153,4035.96,0.53393,0.33049,1.03339,0.95221,0.95599,0.97764,0.80251,0.77215,0.41174,1.30981,0.002476,0.002476,0.002476
154,4062.01,0.53102,0.33417,1.03233,0.94871,0.96088,0.97942,0.79782,0.7757,0.42845,1.31782,0.0024265,0.0024265,0.0024265
155,4088.04,0.53348,0.33278,1.03668,0.95315,0.94512,0.98318,0.80273,0.79455,0.43201,1.35191,0.002377,0.002377,0.002377
156,4114.1,0.52974,0.32451,1.02898,0.93337,0.95907,0.98005,0.80795,0.77904,0.41595,1.33101,0.0023275,0.0023275,0.0023275
157,4140.22,0.52877,0.32724,1.02913,0.92974,0.96577,0.97675,0.80192,0.77958,0.42013,1.33215,0.002278,0.002278,0.002278
158,4166.29,0.52181,0.32209,1.02689,0.94507,0.94866,0.97722,0.80144,0.77335,0.40566,1.31978,0.0022285,0.0022285,0.0022285
159,4192.12,0.52099,0.32067,1.02305,0.9489,0.9534,0.98101,0.81446,0.77056,0.40843,1.3258,0.002179,0.002179,0.002179
160,4218.78,0.52572,0.3297,1.03071,0.94694,0.96333,0.9803,0.80787,0.779,0.41062,1.34143,0.0021295,0.0021295,0.0021295
161,4244.99,0.51608,0.31828,1.0205,0.92303,0.96761,0.97614,0.79726,0.78022,0.42465,1.34679,0.00208,0.00208,0.00208
162,4271.06,0.51531,0.32348,1.02802,0.94902,0.95589,0.97956,0.79949,0.78267,0.41652,1.34709,0.0020305,0.0020305,0.0020305
163,4297.23,0.5122,0.31742,1.02236,0.94472,0.96106,0.97736,0.80182,0.77575,0.40899,1.34012,0.001981,0.001981,0.001981
164,4323.31,0.51762,0.32119,1.02733,0.94892,0.95383,0.98105,0.80511,0.77483,0.41473,1.33671,0.0019315,0.0019315,0.0019315
165,4349.32,0.5145,0.32235,1.02418,0.94616,0.94533,0.9787,0.80537,0.76698,0.4113,1.32605,0.001882,0.001882,0.001882
166,4375.3,0.49919,0.30724,1.00766,0.93343,0.95986,0.97618,0.79999,0.77016,0.42727,1.32293,0.0018325,0.0018325,0.0018325
167,4401.3,0.5036,0.31294,1.01237,0.94395,0.94132,0.97566,0.79909,0.77287,0.43191,1.31946,0.001783,0.001783,0.001783
168,4427.37,0.50653,0.321,1.01368,0.94473,0.94377,0.97729,0.80155,0.77314,0.42691,1.3308,0.0017335,0.0017335,0.0017335
169,4453.56,0.50909,0.31991,1.01782,0.93537,0.95549,0.9788,0.80222,0.76632,0.42325,1.32325,0.001684,0.001684,0.001684
170,4479.55,0.49978,0.30999,1.01335,0.93981,0.95442,0.97812,0.80447,0.77023,0.42153,1.32276,0.0016345,0.0016345,0.0016345
171,4505.56,0.49793,0.31225,1.01479,0.92914,0.96088,0.98222,0.80778,0.77183,0.42326,1.33364,0.001585,0.001585,0.001585
172,4531.65,0.49676,0.30974,1.01327,0.93583,0.96274,0.97815,0.79824,0.77278,0.42264,1.32596,0.0015355,0.0015355,0.0015355
173,4557.72,0.49016,0.30362,1.00544,0.937,0.95599,0.98061,0.80003,0.77165,0.43085,1.33469,0.001486,0.001486,0.001486
174,4584.26,0.48758,0.30544,1.00683,0.94857,0.94696,0.98136,0.80721,0.77209,0.42228,1.33588,0.0014365,0.0014365,0.0014365
175,4610.75,0.4789,0.30328,1.00296,0.9319,0.97028,0.97778,0.80736,0.77625,0.42497,1.3295,0.001387,0.001387,0.001387
176,4636.95,0.47892,0.29929,1.00068,0.92931,0.96435,0.97898,0.80523,0.77475,0.42985,1.33817,0.0013375,0.0013375,0.0013375
177,4663.29,0.47597,0.29618,0.99621,0.94223,0.9571,0.97698,0.80163,0.77928,0.42369,1.35259,0.001288,0.001288,0.001288
178,4689.46,0.4785,0.29823,0.98996,0.94015,0.96017,0.98097,0.80509,0.78434,0.42618,1.35057,0.0012385,0.0012385,0.0012385
179,4715.73,0.488,0.30136,1.00252,0.93959,0.94621,0.98206,0.80587,0.78464,0.43561,1.34559,0.001189,0.001189,0.001189
180,4741.83,0.47461,0.29753,0.99442,0.93335,0.95867,0.97746,0.80762,0.7804,0.43209,1.33827,0.0011395,0.0011395,0.0011395
181,4768.14,0.48208,0.29758,0.99882,0.93462,0.96088,0.97744,0.80574,0.77417,0.43081,1.33475,0.00109,0.00109,0.00109
182,4794.34,0.47335,0.28882,0.99089,0.93519,0.95262,0.97515,0.79945,0.78141,0.43133,1.3514,0.0010405,0.0010405,0.0010405
183,4820.72,0.46902,0.29147,0.99519,0.93752,0.95391,0.97472,0.80032,0.77786,0.44516,1.33463,0.000991,0.000991,0.000991
