                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,      train/loss_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,      train/loss_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
76,0.78437,0.53072,1.2499,8.022985,0.84518,0.53345,1.2975,8.551825,0.89193,0.94621,0.97537,0.7564,0.82614,0.44322,1.3737,0.83751,0.40161,1.3717,0.006337,0.006337,0.006337
77,0.77822,0.53501,1.258,7.991155,0.83581,0.53972,1.2984,8.486035,0.89613,0.94377,0.97209,0.76254,0.81033,0.46119,1.3577,0.84822,0.38572,1.4149,0.0062875,0.0062875,0.0062875
78,0.77363,0.52873,1.2501,7.94174,0.83733,0.51515,1.2943,8.479,0.9221,0.92421,0.97275,0.7603,0.80255,0.44135,1.3639,0.81084,0.38726,1.374,0.006238,0.006238,0.006238
79,0.76793,0.52928,1.2565,7.908865,0.8283,0.52617,1.2998,8.425035,0.92518,0.92421,0.97397,0.76289,0.82346,0.44548,1.3699,0.82356,0.39179,1.3844,0.0061885,0.0061885,0.0061885
80,0.76295,0.51402,1.241,7.840635,0.82709,0.50971,1.287,8.38853,0.86233,0.96487,0.97217,0.75794,0.83661,0.45464,1.3918,0.8642,0.40734,1.4245,0.006139,0.006139,0.006139
81,0.76431,0.51822,1.2445,7.858185,0.83066,0.52343,1.2963,8.436115,0.91491,0.92016,0.96523,0.75468,0.84091,0.45152,1.3995,0.85535,0.41308,1.4275,0.0060895,0.0060895,0.0060895
82,0.77691,0.52113,1.2598,7.97709,0.84317,0.50804,1.306,8.536795,0.91827,0.9291,0.9706,0.76065,0.81543,0.45651,1.3706,0.84841,0.39069,1.3983,0.00604,0.00604,0.00604
83,0.76756,0.52255,1.253,7.897475,0.83135,0.52267,1.3034,8.45156,0.89736,0.94053,0.9751,0.75923,0.81976,0.44462,1.3637,0.84507,0.38023,1.4078,0.0059905,0.0059905,0.0059905
84,0.76526,0.51417,1.237,7.852035,0.82746,0.50858,1.2951,8.40289,0.9062,0.94485,0.97506,0.76051,0.82137,0.44368,1.3571,0.84119,0.37379,1.4195,0.005941,0.005941,0.005941
85,0.74779,0.50164,1.2286,7.702145,0.8076,0.49055,1.279,8.220775,0.93406,0.93518,0.97744,0.76017,0.83936,0.43841,1.4011,0.87045,0.38511,1.4444,0.0058915,0.0058915,0.0058915
86,0.75559,0.49678,1.2328,7.764515,0.81662,0.48645,1.284,8.293875,0.95702,0.92665,0.97934,0.7736,0.81864,0.44402,1.3599,0.83524,0.33384,1.3863,0.005842,0.005842,0.005842
87,0.75913,0.50534,1.239,7.804645,0.81854,0.48746,1.2881,8.31493,0.94303,0.93086,0.97811,0.76976,0.80499,0.42803,1.35,0.81721,0.35025,1.3665,0.0057925,0.0057925,0.0057925
88,0.74945,0.50447,1.2243,7.70956,0.81267,0.48948,1.2746,8.251665,0.91211,0.93881,0.97059,0.75824,0.80624,0.45232,1.3567,0.84821,0.39721,1.406,0.005743,0.005743,0.005743
89,0.75186,0.49459,1.2288,7.729445,0.81714,0.48314,1.2775,8.28637,0.90402,0.92176,0.96264,0.74887,0.81649,0.45817,1.3668,0.82628,0.41198,1.3909,0.0056935,0.0056935,0.0056935
90,0.73941,0.48721,1.2211,7.62083,0.80185,0.46763,1.2634,8.14279,0.92922,0.95355,0.9764,0.76656,0.81387,0.41946,1.3709,0.8347,0.37238,1.3971,0.005644,0.005644,0.005644
91,0.73879,0.48209,1.2173,7.60792,0.79974,0.45593,1.2616,8.118415,0.91503,0.94788,0.97575,0.76784,0.83837,0.43701,1.3878,0.85759,0.36987,1.3962,0.0055945,0.0055945,0.0055945
92,0.73244,0.50006,1.2148,7.56553,0.78984,0.47365,1.261,8.052125,0.93878,0.89988,0.9724,0.77325,0.79999,0.4421,1.3492,0.79917,0.39063,1.3613,0.005545,0.005545,0.005545
93,0.72541,0.48527,1.2088,7.49641,0.78778,0.46392,1.2621,8.03346,0.91073,0.9478,0.97322,0.76851,0.81846,0.44604,1.3943,0.83455,0.39494,1.4103,0.0054955,0.0054955,0.0054955
94,0.72725,0.48406,1.2166,7.521305,0.80181,0.47042,1.2752,8.161585,0.93653,0.93399,0.97469,0.7653,0.83902,0.43763,1.398,0.84509,0.3928,1.4117,0.005446,0.005446,0.005446
95,0.73339,0.48739,1.2135,7.56437,0.79592,0.47979,1.265,8.106795,0.92775,0.94184,0.97745,0.7679,0.82025,0.43834,1.3662,0.84994,0.36875,1.4186,0.0053965,0.0053965,0.0053965
96,0.72094,0.47682,1.1981,7.44261,0.77946,0.46508,1.2438,7.94419,0.92602,0.94132,0.97795,0.76583,0.8309,0.42536,1.3917,0.84715,0.3607,1.4113,0.005347,0.005347,0.005347
97,0.71089,0.47017,1.2003,7.36721,0.77051,0.45675,1.2412,7.869,0.94235,0.94132,0.98257,0.77457,0.79466,0.43561,1.3458,0.79973,0.35783,1.3515,0.0052975,0.0052975,0.0052975
98,0.71555,0.47661,1.2034,7.41003,0.77784,0.46121,1.2457,7.932955,0.92879,0.96333,0.98226,0.78347,0.78862,0.41055,1.3434,0.80457,0.34468,1.3639,0.005248,0.005248,0.005248
99,0.72886,0.48845,1.2118,7.528375,0.79044,0.47271,1.253,8.044155,0.92996,0.94621,0.97761,0.76736,0.82547,0.41644,1.3921,0.84162,0.35817,1.3964,0.0051985,0.0051985,0.0051985
100,0.70951,0.47712,1.2051,7.367535,0.76967,0.45739,1.2541,7.88237,0.92524,0.94621,0.97519,0.76191,0.82999,0.42266,1.3921,0.84481,0.36632,1.4294,0.005149,0.005149,0.005149
101,0.72163,0.47314,1.202,7.451795,0.7814,0.46383,1.2528,7.971615,0.92167,0.94939,0.97796,0.75846,0.81213,0.44637,1.3508,0.83036,0.39486,1.3929,0.0050995,0.0050995,0.0050995
102,0.70674,0.4698,1.1976,7.33185,0.76657,0.45665,1.2426,7.8415,0.92969,0.94377,0.97328,0.76304,0.81997,0.43425,1.3773,0.84203,0.38435,1.3978,0.00505,0.00505,0.00505
103,0.7146,0.46929,1.1897,7.378695,0.76954,0.45274,1.2297,7.84247,0.93555,0.9511,0.97869,0.76702,0.80773,0.40914,1.3866,0.83357,0.34007,1.4063,0.0050005,0.0050005,0.0050005
104,0.69908,0.45679,1.1808,7.242695,0.75634,0.4452,1.2183,7.7226,0.9216,0.94849,0.97889,0.76572,0.80788,0.42294,1.3529,0.83864,0.34786,1.3717,0.004951,0.004951,0.004951
105,0.70195,0.45788,1.1823,7.267015,0.75851,0.44109,1.2174,7.73547,0.92164,0.92665,0.97568,0.76244,0.81858,0.41377,1.3926,0.84764,0.37808,1.4172,0.0049015,0.0049015,0.0049015
