                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,         train/loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
146,0.6816,0.43378,1.1378,7.03559,0.9271,0.96577,0.9806,0.77471,0.81029,0.43786,1.2896,0.0028225,0.0028225,0.0028225
147,0.67593,0.43088,1.1295,6.979165,0.92594,0.94621,0.97877,0.77373,0.81286,0.44897,1.2931,0.002773,0.002773,0.002773
148,0.67478,0.43071,1.1329,6.975555,0.94538,0.92421,0.9781,0.77324,0.80817,0.45616,1.2927,0.0027235,0.0027235,0.0027235
149,0.67552,0.43163,1.1291,6.975865,0.93242,0.94452,0.97604,0.785,0.777,0.44845,1.2511,0.002674,0.002674,0.002674
150,0.66421,0.42174,1.1245,6.879195,0.93942,0.94377,0.9788,0.78343,0.78472,0.43384,1.2674,0.0026245,0.0026245,0.0026245
151,0.66543,0.42429,1.1232,6.88767,0.94576,0.9291,0.97868,0.78517,0.78472,0.43956,1.2659,0.002575,0.002575,0.002575
152,0.66954,0.42561,1.1279,6.926205,0.91275,0.94635,0.97337,0.78014,0.79566,0.43974,1.2861,0.0025255,0.0025255,0.0025255
153,0.66294,0.41636,1.1228,6.86443,0.93012,0.94375,0.98176,0.7868,0.80268,0.43138,1.2848,0.002476,0.002476,0.002476
154,0.66345,0.42554,1.1202,6.868945,0.94348,0.93879,0.97772,0.78297,0.80478,0.43988,1.281,0.0024265,0.0024265,0.0024265
155,0.66112,0.42799,1.1228,6.856595,0.94328,0.93399,0.97967,0.7864,0.7974,0.42792,1.2731,0.002377,0.002377,0.002377
156,0.65029,0.41397,1.1098,6.74886,0.92515,0.93685,0.97725,0.78697,0.77795,0.43535,1.2623,0.0023275,0.0023275,0.0023275
157,0.66537,0.41775,1.1202,6.87945,0.93224,0.94866,0.97812,0.78273,0.78074,0.43984,1.2675,0.002278,0.002278,0.002278
158,0.65282,0.41419,1.1121,6.771395,0.92421,0.93643,0.97814,0.77889,0.79466,0.44585,1.2788,0.0022285,0.0022285,0.0022285
159,0.65171,0.40877,1.1128,6.76141,0.91229,0.94866,0.97438,0.77713,0.79233,0.44974,1.2763,0.002179,0.002179,0.002179
160,0.66476,0.41953,1.1228,6.879665,0.92935,0.93274,0.97975,0.77878,0.79707,0.43988,1.2721,0.0021295,0.0021295,0.0021295
161,0.64721,0.40683,1.1064,6.71709,0.93266,0.94132,0.97527,0.7788,0.79581,0.43721,1.275,0.00208,0.00208,0.00208
162,0.65069,0.42091,1.116,6.76463,0.9501,0.9291,0.97596,0.78145,0.78403,0.43298,1.2696,0.0020305,0.0020305,0.0020305
163,0.65489,0.41507,1.1104,6.78481,0.94555,0.934,0.97808,0.7812,0.79376,0.43967,1.2744,0.001981,0.001981,0.001981
164,0.65158,0.41205,1.1154,6.765975,0.90491,0.96822,0.97607,0.77707,0.79227,0.44297,1.2711,0.0019315,0.0019315,0.0019315
165,0.64882,0.4138,1.1111,6.7397,0.93872,0.93642,0.97511,0.77607,0.79084,0.44417,1.2756,0.001882,0.001882,0.001882
166,0.63495,0.39871,1.0952,6.60428,0.93213,0.93888,0.97517,0.78285,0.78301,0.44064,1.2711,0.0018325,0.0018325,0.0018325
167,0.64412,0.40886,1.1049,6.69268,0.92503,0.94132,0.97684,0.78125,0.79105,0.43108,1.2752,0.001783,0.001783,0.001783
168,0.64654,0.41954,1.109,6.72232,0.92676,0.93888,0.97567,0.77944,0.79439,0.44471,1.283,0.0017335,0.0017335,0.0017335
169,0.64323,0.40855,1.1064,6.6881,0.93919,0.93154,0.97499,0.77722,0.79788,0.44414,1.2968,0.001684,0.001684,0.001684
170,0.63613,0.40198,1.1018,6.624665,0.9359,0.92812,0.97536,0.78184,0.79464,0.44002,1.2866,0.0016345,0.0016345,0.0016345
171,0.63827,0.40386,1.1082,6.651255,0.94905,0.91443,0.97495,0.78031,0.78886,0.44032,1.2743,0.001585,0.001585,0.001585
172,0.63714,0.40586,1.1075,6.64273,0.93854,0.93399,0.97441,0.77588,0.79596,0.44518,1.283,0.0015355,0.0015355,0.0015355
173,0.62334,0.39479,1.0959,6.516295,0.94906,0.92665,0.97515,0.77597,0.79433,0.43737,1.2922,0.001486,0.001486,0.001486
174,0.62632,0.39235,1.099,6.542075,0.93828,0.92919,0.97566,0.77574,0.79638,0.4378,1.2942,0.0014365,0.0014365,0.0014365
175,0.61951,0.39278,1.0916,6.480115,0.92471,0.9291,0.97636,0.78179,0.79395,0.4399,1.2885,0.001387,0.001387,0.001387
176,0.61822,0.38687,1.09,6.465085,0.92455,0.93643,0.97663,0.77968,0.79858,0.44751,1.2906,0.0013375,0.0013375,0.0013375
177,0.61774,0.39101,1.0874,6.459655,0.90321,0.96333,0.97976,0.77965,0.80047,0.44474,1.2933,0.001288,0.001288,0.001288
178,0.61805,0.38531,1.0825,6.45178,0.93229,0.93399,0.97933,0.786,0.80029,0.44173,1.2922,0.0012385,0.0012385,0.0012385
179,0.62577,0.39294,1.0903,6.525195,0.92013,0.94377,0.97717,0.77921,0.79979,0.44052,1.2956,0.001189,0.001189,0.001189
180,0.61256,0.38794,1.0812,6.40997,0.91447,0.94377,0.97757,0.77997,0.80022,0.43602,1.2985,0.0011395,0.0011395,0.0011395
181,0.61925,0.38678,1.0882,6.470065,0.93175,0.93399,0.97711,0.78236,0.79723,0.43156,1.2975,0.00109,0.00109,0.00109
