               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
146,1.0319,0.67335,1.5261,10.365075,0.94066,0.95355,0.98135,0.80066,0.98296,0.52685,1.7595,0.0028225,0.0028225,0.0028225
147,1.027,0.6796,1.5142,10.3136,0.94084,0.9511,0.98172,0.80102,0.9755,0.51266,1.7469,0.002773,0.002773,0.002773
148,1.0269,0.6798,1.5203,10.3221,0.92936,0.96506,0.98231,0.8057,0.98324,0.51415,1.7456,0.0027235,0.0027235,0.0027235
149,1.025,0.67924,1.5236,10.31252,0.95373,0.94132,0.98289,0.80466,0.96487,0.50826,1.7229,0.002674,0.002674,0.002674
150,1.0159,0.66785,1.5178,10.229875,0.93486,0.96333,0.98267,0.81167,0.9538,0.50561,1.7138,0.0026245,0.0026245,0.0026245
151,1.0203,0.6857,1.5249,10.28245,0.92527,0.97066,0.98246,0.81311,0.94978,0.50384,1.709,0.002575,0.002575,0.002575
152,1.0004,0.66383,1.5068,10.095115,0.94209,0.95461,0.98022,0.80918,0.95495,0.50816,1.7145,0.0025255,0.0025255,0.0025255
153,1.0202,0.66942,1.5149,10.25856,0.94692,0.95955,0.9809,0.81176,0.95933,0.51257,1.7212,0.002476,0.002476,0.002476
154,1.0151,0.67485,1.5184,10.228275,0.95066,0.9511,0.9817,0.80657,0.96528,0.52567,1.7238,0.0024265,0.0024265,0.0024265
155,1.0167,0.67341,1.5168,10.237155,0.92067,0.97066,0.98292,0.81141,0.96438,0.51284,1.7302,0.002377,0.002377,0.002377
156,1.011,0.67141,1.5151,10.190855,0.93682,0.96822,0.9833,0.81244,0.96165,0.51357,1.723,0.0023275,0.0023275,0.0023275
157,1.014,0.67279,1.5278,10.233095,0.93936,0.95844,0.98336,0.80801,0.95762,0.52165,1.7159,0.002278,0.002278,0.002278
158,0.99176,0.6562,1.5113,10.03325,0.94262,0.95355,0.98178,0.80982,0.95825,0.51561,1.7228,0.0022285,0.0022285,0.0022285
159,0.997,0.65627,1.4993,10.054585,0.93567,0.96577,0.98311,0.81154,0.94063,0.49054,1.7044,0.002179,0.002179,0.002179
160,0.99436,0.65524,1.5058,10.04402,0.94038,0.96409,0.98092,0.81262,0.94881,0.51132,1.7099,0.0021295,0.0021295,0.0021295
161,1.0044,0.67473,1.5203,10.150815,0.93591,0.95844,0.98015,0.81122,0.9546,0.51193,1.717,0.00208,0.00208,0.00208
162,0.98596,0.64344,1.4953,9.95937,0.94925,0.96033,0.98281,0.8132,0.95566,0.51609,1.7255,0.0020305,0.0020305,0.0020305
163,0.98678,0.64113,1.4952,9.964215,0.93806,0.96275,0.98259,0.81101,0.96148,0.51672,1.7312,0.001981,0.001981,0.001981
164,0.97661,0.65059,1.4922,9.88817,0.93287,0.96577,0.98101,0.80948,0.96067,0.51128,1.7288,0.0019315,0.0019315,0.0019315
165,0.99515,0.64617,1.5072,10.04751,0.92897,0.95927,0.98022,0.81331,0.95483,0.5078,1.7217,0.001882,0.001882,0.001882
166,0.98606,0.65318,1.5041,9.97819,0.93004,0.96577,0.98264,0.81279,0.95259,0.49886,1.7311,0.0018325,0.0018325,0.0018325
167,0.99087,0.63225,1.49,9.98265,0.92715,0.96463,0.98197,0.81365,0.95132,0.51013,1.7301,0.001783,0.001783,0.001783
168,0.97867,0.63725,1.4909,9.895,0.93669,0.95599,0.98229,0.81895,0.94703,0.52287,1.7167,0.0017335,0.0017335,0.0017335
169,0.9852,0.6452,1.4872,9.9424,0.93582,0.95599,0.98141,0.81659,0.94439,0.52058,1.7149,0.001684,0.001684,0.001684
170,0.98315,0.64204,1.4786,9.912545,0.93374,0.96088,0.98121,0.81332,0.94583,0.51795,1.7228,0.0016345,0.0016345,0.0016345
171,0.94972,0.62115,1.4644,9.630075,0.9401,0.95355,0.98184,0.81338,0.94789,0.51058,1.7305,0.001585,0.001585,0.001585
172,0.96586,0.63519,1.4817,9.784095,0.93518,0.95844,0.98184,0.81394,0.96659,0.51421,1.75,0.0015355,0.0015355,0.0015355
173,0.95877,0.61456,1.4648,9.695255,0.94722,0.95844,0.98257,0.81493,0.95583,0.49701,1.7389,0.001486,0.001486,0.001486
174,0.96158,0.61399,1.4801,9.738995,0.92614,0.98107,0.98383,0.81213,0.9474,0.49682,1.7283,0.0014365,0.0014365,0.0014365
175,0.98235,0.63351,1.4882,9.91668,0.91975,0.98778,0.98393,0.81817,0.94482,0.47812,1.7261,0.001387,0.001387,0.001387
176,0.97889,0.6302,1.4747,9.868825,0.93484,0.97066,0.98475,0.8141,0.94616,0.48417,1.729,0.0013375,0.0013375,0.0013375
177,0.95534,0.61276,1.4665,9.67118,0.94613,0.97555,0.98399,0.81815,0.94578,0.48505,1.7339,0.001288,0.001288,0.001288
178,0.96464,0.62792,1.4748,9.76096,0.94077,0.97091,0.98339,0.81839,0.95115,0.48087,1.7262,0.0012385,0.0012385,0.0012385
179,0.96345,0.61701,1.485,9.76188,0.94321,0.96333,0.98282,0.81782,0.953,0.48597,1.7291,0.001189,0.001189,0.001189
180,0.95088,0.61719,1.4717,9.647745,0.92811,0.98044,0.98329,0.81317,0.95091,0.48927,1.7263,0.0011395,0.0011395,0.0011395
181,0.95254,0.6151,1.4686,9.6545,0.9298,0.97311,0.98274,0.80879,0.96356,0.5019,1.7432,0.00109,0.00109,0.00109
