               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
144,1.1861,0.82142,1.6391,11.76511,0.90549,0.96045,0.97994,0.79387,0.9958,0.56053,1.7239,0.0029215,0.0029215,0.0029215
145,1.1911,0.80543,1.6253,11.773915,0.90933,0.95628,0.98012,0.79304,1.0102,0.57761,1.7265,0.002872,0.002872,0.002872
146,1.1742,0.80234,1.627,11.64817,0.93097,0.92326,0.97836,0.79279,0.98649,0.56779,1.7072,0.0028225,0.0028225,0.0028225
147,1.1642,0.81288,1.6119,11.55579,0.91154,0.95599,0.97922,0.78839,0.99442,0.56975,1.7271,0.002773,0.002773,0.002773
148,1.1843,0.81995,1.6304,11.737825,0.91547,0.95321,0.98057,0.79249,1.0039,0.5759,1.7299,0.0027235,0.0027235,0.0027235
149,1.1715,0.81202,1.6269,11.63261,0.90227,0.95844,0.97953,0.78946,1.0067,0.56396,1.7392,0.002674,0.002674,0.002674
150,1.1684,0.79893,1.6283,11.604915,0.91624,0.96281,0.98134,0.79589,0.99302,0.55329,1.719,0.0026245,0.0026245,0.0026245
151,1.1764,0.81453,1.6357,11.683815,0.90047,0.97325,0.97976,0.79859,0.97083,0.54037,1.6895,0.002575,0.002575,0.002575
152,1.1589,0.78883,1.6175,11.512415,0.92921,0.94866,0.98041,0.79876,0.98559,0.53672,1.7061,0.0025255,0.0025255,0.0025255
153,1.168,0.79534,1.6177,11.58422,0.90859,0.96333,0.98148,0.79657,0.98543,0.53757,1.7054,0.002476,0.002476,0.002476
154,1.1641,0.81304,1.6272,11.57807,0.93006,0.94284,0.98111,0.79423,1.002,0.54726,1.7235,0.0024265,0.0024265,0.0024265
155,1.1675,0.79845,1.6244,11.592075,0.91799,0.96577,0.98098,0.79457,1.0249,0.54719,1.739,0.002377,0.002377,0.002377
156,1.1614,0.79901,1.6165,11.534755,0.90148,0.97311,0.98127,0.79503,1.0225,0.55201,1.7416,0.0023275,0.0023275,0.0023275
157,1.1637,0.79739,1.6298,11.571145,0.92137,0.94546,0.97929,0.79149,1.0094,0.55032,1.7301,0.002278,0.002278,0.002278
158,1.1368,0.78895,1.6122,11.338775,0.93026,0.93399,0.9805,0.79641,1.0033,0.53805,1.7272,0.0022285,0.0022285,0.0022285
159,1.1421,0.78048,1.6016,11.35839,0.9441,0.92665,0.98023,0.79585,0.98929,0.5372,1.7087,0.002179,0.002179,0.002179
160,1.1442,0.78619,1.611,11.391095,0.9299,0.94132,0.9793,0.79278,1.0086,0.55628,1.7297,0.0021295,0.0021295,0.0021295
161,1.1491,0.80921,1.6229,11.457205,0.9258,0.94377,0.97994,0.79683,0.99432,0.55519,1.7093,0.00208,0.00208,0.00208
162,1.1421,0.784,1.6054,11.36585,0.90773,0.96088,0.98048,0.7958,0.99293,0.55499,1.7077,0.0020305,0.0020305,0.0020305
163,1.1381,0.77341,1.5986,11.320355,0.90079,0.97066,0.9808,0.8018,1.0019,0.52735,1.737,0.001981,0.001981,0.001981
164,1.1276,0.77374,1.5973,11.23982,0.91109,0.96822,0.98122,0.8036,0.96953,0.53597,1.6924,0.0019315,0.0019315,0.0019315
165,1.1513,0.7826,1.6129,11.4454,0.91164,0.95355,0.98025,0.79744,0.98622,0.53343,1.7059,0.001882,0.001882,0.001882
166,1.1416,0.77966,1.6069,11.36218,0.91822,0.9511,0.98076,0.80182,0.98392,0.53295,1.7043,0.0018325,0.0018325,0.0018325
167,1.1463,0.77347,1.5921,11.372135,0.91176,0.95996,0.97953,0.80098,0.98505,0.53634,1.7014,0.001783,0.001783,0.001783
168,1.1352,0.7754,1.6002,11.302,0.89234,0.97277,0.98059,0.79986,0.98738,0.53747,1.7057,0.0017335,0.0017335,0.0017335
169,1.1494,0.77894,1.5972,11.40577,0.90993,0.96088,0.981,0.79857,0.98687,0.53785,1.707,0.001684,0.001684,0.001684
170,1.1451,0.76887,1.5878,11.354385,0.9389,0.93931,0.98114,0.79701,0.99432,0.54351,1.7178,0.0016345,0.0016345,0.0016345
171,1.1037,0.74357,1.5709,11.005885,0.91393,0.94377,0.98043,0.80187,0.97535,0.54243,1.6915,0.001585,0.001585,0.001585
172,1.1225,0.76449,1.5924,11.189595,0.90379,0.96466,0.97991,0.79699,0.98938,0.54234,1.7077,0.0015355,0.0015355,0.0015355
173,1.113,0.74752,1.5695,11.07551,0.90622,0.96822,0.98035,0.79789,0.98853,0.53917,1.6992,0.001486,0.001486,0.001486
174,1.1196,0.7455,1.587,11.15025,0.92103,0.96333,0.97997,0.79469,0.9869,0.53683,1.7017,0.0014365,0.0014365,0.0014365
175,1.1314,0.76797,1.5897,11.254035,0.91434,0.96559,0.97995,0.79587,0.99094,0.52969,1.707,0.001387,0.001387,0.001387
176,1.1386,0.76965,1.5836,11.299725,0.9159,0.95862,0.98048,0.79385,0.98063,0.52572,1.6988,0.0013375,0.0013375,0.0013375
177,1.114,0.74315,1.5748,11.088775,0.89612,0.97311,0.98043,0.79858,0.98651,0.53917,1.7068,0.001288,0.001288,0.001288
178,1.1106,0.7619,1.5755,11.0737,0.90125,0.97555,0.98254,0.79939,0.99029,0.5315,1.7127,0.0012385,0.0012385,0.0012385
179,1.123,0.75174,1.5951,11.19102,0.89998,0.97555,0.98032,0.79948,0.9897,0.54068,1.7144,0.001189,0.001189,0.001189
180,1.1071,0.74577,1.5842,11.052435,0.88224,0.97555,0.97966,0.8031,0.97052,0.53981,1.694,0.0011395,0.0011395,0.0011395
181,1.1115,0.74105,1.5817,11.079325,0.89611,0.97311,0.98089,0.80182,0.97612,0.54065,1.7008,0.00109,0.00109,0.00109
